14:48:08 topic: pageviews/Partition 0 | message lag: 0.0
14:48:08 topic: inventory/Partition 0 | message lag: 0.0
14:48:08 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:09 topic: pageviews/Partition 0 | message lag: 0.0
14:48:09 topic: inventory/Partition 0 | message lag: 0.0
14:48:09 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:10 topic: pageviews/Partition 0 | message lag: 0.0
14:48:10 topic: inventory/Partition 0 | message lag: 0.0
14:48:10 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:11 topic: pageviews/Partition 0 | message lag: 0.0
14:48:11 topic: inventory/Partition 0 | message lag: 0.0
14:48:11 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:12 topic: pageviews/Partition 0 | message lag: 0.0
14:48:12 topic: inventory/Partition 0 | message lag: 0.0
14:48:12 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:13 topic: pageviews/Partition 0 | message lag: 0.0
14:48:13 topic: inventory/Partition 0 | message lag: 0.0
14:48:13 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:14 topic: pageviews/Partition 0 | message lag: 0.0
14:48:14 topic: inventory/Partition 0 | message lag: 0.0
14:48:14 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:15 topic: pageviews/Partition 0 | message lag: 0.0
14:48:15 topic: inventory/Partition 0 | message lag: 0.0
14:48:15 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:16 topic: pageviews/Partition 0 | message lag: 0.0
14:48:16 topic: inventory/Partition 0 | message lag: 0.0
14:48:16 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:17 topic: pageviews/Partition 0 | message lag: 0.0
14:48:17 topic: inventory/Partition 0 | message lag: 0.0
14:48:17 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:18 topic: pageviews/Partition 0 | message lag: 0.0
